Occupation code,Occupation title (click on the occupation title to view its profile),Level,Employment,Employment RSE,"Employment per 1,000 jobs",Median hourly wage,Mean hourly wage,Annual mean wage,Mean wage RSE,,,
49-3000,"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",minor,1614070,0.004,11.152,20.83,22.21,46200,0.003,,,
49-3011,Aircraft Mechanics and Service Technicians,detail,131690,0.02,0.91,30.25,31.36,65230,0.01,,,
49-3020,Automotive Technicians and Repairers,broad,809740,0.006,5.595,19.63,21.17,44030,0.003,,,
49-3021,Automotive Body and Related Repairers,detail,142060,0.013,0.982,20.55,22.34,46460,0.006,,,
49-3022,Automotive Glass Installers and Repairers,detail,19640,0.07,0.136,16.43,17.49,36370,0.016,,,
49-3023,Automotive Service Technicians and Mechanics,detail,648050,0.007,4.478,19.57,21.02,43730,0.003,,,
49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,detail,264860,0.011,1.83,22.76,23.63,49150,0.003,,,
49-3040,Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics,broad,199280,0.011,1.377,24.19,24.89,51780,0.004,,,
49-3041,Farm Equipment Mechanics and Service Technicians,detail,34300,0.021,0.237,19.54,20.29,42190,0.006,,,
49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",detail,140260,0.013,0.969,24.96,25.66,53370,0.003,,,
49-3043,Rail Car Repairers,detail,24720,0.049,0.171,27.03,26.93,56020,0.02,,,
49-3050,Small Engine Mechanics,broad,69130,0.019,0.478,17.82,18.84,39180,0.005,,,
49-3051,Motorboat Mechanics and Service Technicians,detail,22280,0.037,0.154,19.32,20.35,42330,0.01,,,
49-3052,Motorcycle Mechanics,detail,15090,0.039,0.104,17.69,18.87,39260,0.011,,,
49-3053,Outdoor Power Equipment and Other Small Engine Mechanics,detail,31760,0.03,0.219,17.02,17.76,36940,0.007,,,
49-3090,"Miscellaneous Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",broad,139370,0.021,0.963,13.84,14.8,30780,0.005,,,
49-3091,Bicycle Repairers,detail,12200,0.07,0.084,13.92,14.56,30290,0.018,,,
49-3092,Recreational Vehicle Service Technicians,detail,15560,0.049,0.108,18.35,19.28,40090,0.009,,,
49-3093,Tire Repairers and Changers,detail,111620,0.024,0.771,13.41,14.2,29530,0.006,,,
49-9000,"Other Installation, Maintenance, and Repair Occupations",minor,2959670,0.003,20.449,20.68,22.3,46380,0.002,,,
49-9010,Control and Valve Installers and Repairers,broad,74400,0.027,0.514,23.89,25.7,53460,0.009,,,
49-9011,Mechanical Door Repairers,detail,22670,0.052,0.157,19.71,20.84,43350,0.012,,,
49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door",detail,51730,0.032,0.357,26.96,27.83,57890,0.011,,,
49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",detail,324310,0.013,2.241,22.89,24.12,50160,0.005,,,
49-9031,Home Appliance Repairers,detail,31130,0.036,0.215,18.88,19.72,41020,0.009,,,
49-9040,"Industrial Machinery Installation, Repair, and Maintenance Workers",broad,487640,0.007,3.369,24.82,25.64,53330,0.002,,,
49-9041,Industrial Machinery Mechanics,detail,362440,0.009,2.504,25.16,25.96,54000,0.002,,,
49-9043,"Maintenance Workers, Machinery",detail,80270,0.014,0.555,22.63,23.42,48720,0.004,,,
49-9044,Millwrights,detail,43810,0.028,0.303,26.47,27.04,56250,0.007,,,
49-9045,"Refractory Materials Repairers, Except Brickmasons",detail,1120,0.117,0.008,25.09,25.24,52510,0.023,,,
49-9050,Line Installers and Repairers,broad,233010,0.017,1.61,31.67,31.03,64540,0.006,,,
49-9051,Electrical Power-Line Installers and Repairers,detail,114800,0.017,0.793,34.09,33.77,70240,0.005,,,
49-9052,Telecommunications Line Installers and Repairers,detail,118200,0.029,0.817,28.02,28.36,59000,0.012,,,
49-9060,Precision Instrument and Equipment Repairers,broad,72010,0.021,0.498,23.13,24.58,51120,0.006,,,
49-9061,Camera and Photographic Equipment Repairers,detail,3690,0.107,0.025,19.53,20.45,42540,0.024,,,
49-9062,Medical Equipment Repairers,detail,46320,0.025,0.32,23.66,25.34,52710,0.008,,,
49-9063,Musical Instrument Repairers and Tuners,detail,8450,0.083,0.058,17.47,18.81,39110,0.022,,,
49-9064,Watch Repairers,detail,2610,0.102,0.018,19.19,21.55,44830,0.035,,,
49-9069,"Precision Instrument and Equipment Repairers, All Other",detail,10930,0.048,0.076,27.7,27.91,58060,0.011,,,
49-9071,"Maintenance and Repair Workers, General",detail,1384240,0.004,9.564,18.42,19.72,41020,0.002,,,
49-9081,Wind Turbine Service Technicians,detail,5580,0.12,0.039,26.14,27.88,58000,0.018,,,
49-9090,"Miscellaneous Installation, Maintenance, and Repair Workers",broad,347350,0.012,2.4,17.39,19.25,40040,0.004,,,
49-9091,"Coin, Vending, and Amusement Machine Servicers and Repairers",detail,32920,0.029,0.227,16.61,17.49,36390,0.012,,,
49-9092,Commercial Divers,detail,3380,0.095,0.023,23.63,28.59,59470,0.035,,,
49-9093,"Fabric Menders, Except Garment",detail,400,0.148,0.003,14.77,16.13,33550,0.036,,,
49-9094,Locksmiths and Safe Repairers,detail,16970,0.042,0.117,19.93,21.03,43740,0.012,,,
49-9095,Manufactured Building and Mobile Home Installers,detail,2920,0.106,0.02,15.4,15.82,32910,0.017,,,
49-9096,Riggers,detail,20970,0.055,0.145,24.22,24.68,51330,0.014,,,
49-9097,Signal and Track Switch Repairers,detail,7730,0.063,0.053,33.89,32.6,67800,0.022,,,
49-9098,"Helpers--Installation, Maintenance, and Repair Workers",detail,105040,0.017,0.726,14.16,15.09,31390,0.005,,,
49-9099,"Installation, Maintenance, and Repair Workers, All Other",detail,157030,0.021,1.085,18.9,20.7,43050,0.005,,,
51-0000,Production Occupations,major,9115530,0.003,62.982,16.86,18.84,39190,0.002,,,
51-1011,First-Line Supervisors of Production and Operating Workers,detail,622790,0.004,4.303,29.05,30.93,64340,0.002,,,
51-2000,Assemblers and Fabricators,minor,1831200,0.008,12.652,15.78,17.14,35650,0.005,,,
51-2011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",detail,43150,0.047,0.298,25.64,26.7,55530,0.024,,,
51-2020,"Electrical, Electronics, and Electromechanical Assemblers",broad,287630,0.016,1.987,16.2,17.26,35910,0.005,,,
51-2021,"Coil Winders, Tapers, and Finishers",detail,12190,0.062,0.084,16.54,17.6,36610,0.013,,,
51-2028,"Electrical, Electronic, and Electromechanical Assemblers, Except Coil Winders, Tapers, and Finishers",detail,275450,0.016,1.903,16.18,17.25,35880,0.005,,,
51-2031,Engine and Other Machine Assemblers,detail,48200,0.05,0.333,21.34,21.79,45330,0.017,,,
51-2041,Structural Metal Fabricators and Fitters,detail,76090,0.02,0.526,18.89,20.02,41640,0.009,,,
51-2090,Miscellaneous Assemblers and Fabricators,broad,1376130,0.01,9.508,15.19,16.49,34300,0.005,,,
51-2091,Fiberglass Laminators and Fabricators,detail,21190,0.055,0.146,16.59,17.39,36170,0.013,,,
51-2093,Timing Device Assemblers and Adjusters,detail,780,0.104,0.005,16.66,18.01,37460,0.032,,,
51-2098,"Assemblers and Fabricators, All Other, Including Team Assemblers",detail,1354150,0.01,9.356,15.16,16.48,34270,0.005,,,
51-3000,Food Processing Workers,minor,801770,0.01,5.54,13.58,14.46,30090,0.003,,,
51-3011,Bakers,detail,180010,0.016,1.244,12.75,13.78,28660,0.004,,,
51-3020,"Butchers and Other Meat, Poultry, and Fish Processing Workers",broad,365660,0.017,2.526,13.69,14.38,29910,0.005,,,
51-3021,Butchers and Meat Cutters,detail,133670,0.021,0.924,15.18,15.97,33210,0.006,,,
51-3022,"Meat, Poultry, and Fish Cutters and Trimmers",detail,156440,0.029,1.081,12.96,13.36,27790,0.009,,,
51-3023,Slaughterers and Meat Packers,detail,75550,0.035,0.522,13.59,13.68,28450,0.008,,,
51-3090,Miscellaneous Food Processing Workers,broad,256100,0.017,1.769,13.99,15.07,31340,0.005,,,
51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",detail,21060,0.031,0.145,14.83,15.74,32730,0.015,,,
51-3092,Food Batchmakers,detail,160160,0.022,1.107,14.29,15.43,32090,0.007,,,
51-3093,Food Cooking Machine Operators and Tenders,detail,32260,0.045,0.223,14.48,15.23,31690,0.011,,,
51-3099,"Food Processing Workers, All Other",detail,42620,0.04,0.294,12.44,13.26,27590,0.007,,,
51-4000,Metal Workers and Plastic Workers,minor,1940370,0.005,13.407,18.7,19.94,41480,0.002,,,
51-4010,Computer Control Programmers and Operators,broad,171920,0.014,1.188,19.95,21.13,43940,0.005,,,
51-4011,"Computer-Controlled Machine Tool Operators, Metal and Plastic",detail,148150,0.015,1.024,19.26,20.17,41960,0.005,,,
51-4012,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",detail,23770,0.023,0.164,25.57,27.07,56300,0.007,,,
51-4020,"Forming Machine Setters, Operators, and Tenders, Metal and Plastic",broad,120630,0.02,0.833,17.52,18.35,38170,0.007,,,
51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",detail,75610,0.024,0.522,16.9,17.61,36620,0.007,,,
51-4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",detail,18330,0.045,0.127,18.7,19.6,40770,0.026,,,
51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",detail,26700,0.043,0.184,18.58,19.61,40790,0.012,,,
51-4030,"Machine Tool Cutting Setters, Operators, and Tenders, Metal and Plastic",broad,318860,0.011,2.203,17.05,18,37450,0.005,,,
51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",detail,186640,0.013,1.29,16.57,17.4,36180,0.006,,,
51-4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detail,11400,0.053,0.079,18.28,19.95,41490,0.016,,,
51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detail,71870,0.019,0.497,16.76,17.64,36690,0.005,,,
51-4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detail,29510,0.04,0.204,18.84,19.76,41090,0.008,,,
51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",detail,19440,0.078,0.134,20.95,21.39,44490,0.016,,,
51-4041,Machinists,detail,384350,0.01,2.656,20.97,21.75,45250,0.003,,,
51-4050,"Metal Furnace Operators, Tenders, Pourers, and Casters",broad,25520,0.037,0.176,19.18,19.79,41160,0.012,,,
51-4051,Metal-Refining Furnace Operators and Tenders,detail,17670,0.041,0.122,19.82,20.1,41810,0.017,,,
51-4052,"Pourers and Casters, Metal",detail,7850,0.063,0.054,18.14,19.07,39670,0.014,,,
51-4060,"Model Makers and Patternmakers, Metal and Plastic",broad,8090,0.05,0.056,24.88,25.69,53430,0.013,,,
51-4061,"Model Makers, Metal and Plastic",detail,5210,0.069,0.036,26.98,27.36,56920,0.017,,,
51-4062,"Patternmakers, Metal and Plastic",detail,2880,0.068,0.02,22.04,22.66,47130,0.016,,,
51-4070,"Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic",broad,179710,0.017,1.242,15.3,16.44,34200,0.005,,,
51-4071,Foundry Mold and Coremakers,detail,15600,0.043,0.108,17.04,17.7,36820,0.01,,,
51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",detail,164110,0.018,1.134,15.13,16.32,33950,0.005,,,
51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detail,133840,0.018,0.925,17.01,18.03,37510,0.009,,,
51-4111,Tool and Die Makers,detail,72700,0.021,0.502,25.36,25.79,53650,0.008,,,
51-4120,"Welding, Soldering, and Brazing Workers",broad,424270,0.008,2.931,19.71,21.12,43930,0.003,,,
51-4121,"Welders, Cutters, Solderers, and Brazers",detail,389190,0.009,2.689,19.89,21.33,44360,0.003,,,
51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",detail,35080,0.03,0.242,18.11,18.83,39160,0.007,,,
51-4190,Miscellaneous Metal Workers and Plastic Workers,broad,100470,0.021,0.694,17.14,18.24,37940,0.006,,,
51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",detail,19690,0.036,0.136,18.04,18.77,39050,0.008,,,
51-4192,"Layout Workers, Metal and Plastic",detail,8170,0.04,0.056,23.03,22.78,47380,0.016,,,
51-4193,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",detail,40070,0.031,0.277,15.58,16.74,34830,0.007,,,
51-4194,"Tool Grinders, Filers, and Sharpeners",detail,7070,0.051,0.049,18.34,19.66,40890,0.014,,,
51-4199,"Metal Workers and Plastic Workers, All Other",detail,25470,0.057,0.176,17.27,18.34,38140,0.014,,,
51-5110,Printing Workers,broad,249140,0.011,1.721,17.36,18.39,38260,0.004,,,
51-5111,Prepress Technicians and Workers,detail,29990,0.024,0.207,19.43,20.31,42240,0.009,,,
51-5112,Printing Press Operators,detail,173470,0.013,1.199,17.41,18.49,38470,0.005,,,
51-5113,Print Binding and Finishing Workers,detail,45690,0.027,0.316,15.81,16.76,34850,0.008,,,
51-6000,"Textile, Apparel, and Furnishings Workers",minor,574130,0.009,3.967,12.11,13.31,27690,0.003,,,
51-6011,Laundry and Dry-Cleaning Workers,detail,213350,0.013,1.474,11.16,11.77,24480,0.004,,,
51-6021,"Pressers, Textile, Garment, and Related Materials",detail,38320,0.029,0.265,11.23,11.57,24060,0.007,,,
51-6031,Sewing Machine Operators,detail,136450,0.022,0.943,12.03,12.98,26990,0.005,,,
51-6040,Shoe and Leather Workers,broad,12450,0.081,0.086,14.09,14.37,29900,0.017,,,
51-6041,Shoe and Leather Workers and Repairers,detail,8640,0.09,0.06,13.87,14.33,29800,0.02,,,
51-6042,Shoe Machine Operators and Tenders,detail,3810,0.156,0.026,14.63,14.47,30110,0.029,,,
51-6050,"Tailors, Dressmakers, and Sewers",broad,26500,0.062,0.183,14.59,16.04,33350,0.015,,,
51-6051,"Sewers, Hand",detail,5350,0.125,0.037,13.78,14.19,29510,0.018,,,
51-6052,"Tailors, Dressmakers, and Custom Sewers",detail,21150,0.071,0.146,14.9,16.5,34330,0.018,,,
51-6060,"Textile Machine Setters, Operators, and Tenders",broad,75490,0.022,0.522,13.88,14.37,29880,0.006,,,
51-6061,Textile Bleaching and Dyeing Machine Operators and Tenders,detail,9330,0.067,0.064,13.84,14.39,29930,0.011,,,
51-6062,"Textile Cutting Machine Setters, Operators, and Tenders",detail,13310,0.042,0.092,13.57,14.16,29440,0.009,,,
51-6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",detail,21190,0.035,0.146,14.02,14.65,30470,0.011,,,
51-6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",detail,31650,0.032,0.219,13.9,14.26,29660,0.008,,,
51-6090,"Miscellaneous Textile, Apparel, and Furnishings Workers",broad,71570,0.027,0.495,15.99,17.18,35740,0.007,,,
51-6091,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",detail,18130,0.05,0.125,16.44,17.07,35500,0.011,,,
51-6092,Fabric and Apparel Patternmakers,detail,5220,0.092,0.036,19.5,23.65,49180,0.033,,,
51-6093,Upholsterers,detail,32870,0.039,0.227,16.58,17.27,35920,0.008,,,
51-6099,"Textile, Apparel, and Furnishings Workers, All Other",detail,15360,0.064,0.106,13.34,14.94,31070,0.016,,,
51-7000,Woodworkers,minor,257840,0.013,1.781,15.19,16.19,33680,0.003,,,
51-7011,Cabinetmakers and Bench Carpenters,detail,102100,0.02,0.705,16.7,17.59,36580,0.005,,,
51-7021,Furniture Finishers,detail,17250,0.028,0.119,15.36,16.27,33850,0.008,,,
51-7030,"Model Makers and Patternmakers, Wood",broad,1280,0.184,0.009,27.07,26.7,55540,0.029,,,
51-7031,"Model Makers, Wood",detail,740,0.253,0.005,25.53,25.29,52590,0.047,,,
51-7032,"Patternmakers, Wood",detail,530,0.263,0.004,29.3,28.68,59650,0.03,,,
51-7040,"Woodworking Machine Setters, Operators, and Tenders",broad,131240,0.019,0.907,14.25,14.98,31150,0.004,,,
51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",detail,52260,0.024,0.361,14.18,15,31200,0.007,,,
51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",detail,78980,0.027,0.546,14.29,14.96,31110,0.005,,,
51-7099,"Woodworkers, All Other",detail,5970,0.051,0.041,14.98,16.6,34530,0.018,,,
51-8000,Plant and System Operators,minor,301200,0.009,2.081,28.42,29.72,61820,0.004,,,
51-8010,"Power Plant Operators, Distributors, and Dispatchers",broad,51820,0.021,0.358,39.92,39.31,81760,0.005,,,
51-8011,Nuclear Power Reactor Operators,detail,6280,0.064,0.043,45.36,45.82,95310,0.011,,,
51-8012,Power Distributors and Dispatchers,detail,11620,0.037,0.08,41.54,41.03,85340,0.007,,,
51-8013,Power Plant Operators,detail,33920,0.026,0.234,38.27,37.51,78030,0.006,,,
51-8021,Stationary Engineers and Boiler Operators,detail,31710,0.02,0.219,29.06,30.62,63690,0.01,,,
51-8031,Water and Wastewater Treatment Plant and System Operators,detail,123650,0.01,0.854,22.49,23.79,49490,0.004,,,
51-8090,Miscellaneous Plant and System Operators,broad,94010,0.021,0.65,31.85,31.94,66430,0.006,,,
51-8091,Chemical Plant and System Operators,detail,28190,0.045,0.195,29.84,29.6,61570,0.012,,,
51-8092,Gas Plant Operators,detail,14620,0.038,0.101,34.17,34.36,71470,0.009,,,
51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",detail,38930,0.037,0.269,34.07,33.96,70630,0.011,,,
51-8099,"Plant and System Operators, All Other",detail,12270,0.036,0.085,27.45,28.03,58300,0.009,,,
51-9000,Other Production Occupations,minor,2537090,0.006,17.529,16.35,17.92,37270,0.002,,,
51-9010,"Chemical Processing Machine Setters, Operators, and Tenders",broad,132660,0.018,0.917,21.97,23.3,48470,0.007,,,
51-9011,Chemical Equipment Operators and Tenders,detail,82880,0.024,0.573,23.45,24.55,51070,0.008,,,
51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",detail,49770,0.026,0.344,19.62,21.22,44140,0.009,,,
51-9020,"Crushing, Grinding, Polishing, Mixing, and Blending Workers",broad,190770,0.016,1.318,17.25,18.25,37960,0.004,,,
51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",detail,31890,0.029,0.22,17.5,18.3,38060,0.007,,,
51-9022,"Grinding and Polishing Workers, Hand",detail,30280,0.035,0.209,14.21,15.34,31900,0.008,,,
51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",detail,128600,0.021,0.889,17.89,18.92,39360,0.005,,,
51-9030,Cutting Workers,broad,71420,0.02,0.493,16.26,16.87,35090,0.005,,,
51-9031,"Cutters and Trimmers, Hand",detail,10580,0.043,0.073,14.13,15.19,31600,0.013,,,
51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",detail,60840,0.022,0.42,16.64,17.16,35700,0.005,,,
51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",detail,72870,0.022,0.503,16.89,17.69,36800,0.006,,,
51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",detail,17730,0.034,0.122,18.83,19.52,40610,0.008,,,
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",detail,557510,0.007,3.852,18.39,20.2,42010,0.004,,,
51-9071,Jewelers and Precious Stone and Metal Workers,detail,25910,0.04,0.179,18.96,20.95,43570,0.019,,,
51-9080,"Medical, Dental, and Ophthalmic Laboratory Technicians",broad,77110,0.022,0.533,17.64,19.15,39840,0.006,,,
51-9081,Dental Laboratory Technicians,detail,34480,0.034,0.238,19.44,20.76,43180,0.008,,,
51-9082,Medical Appliance Technicians,detail,14670,0.053,0.101,18.84,20.28,42180,0.013,,,
51-9083,Ophthalmic Laboratory Technicians,detail,27960,0.037,0.193,15.3,16.58,34490,0.011,,,
51-9111,Packaging and Filling Machine Operators and Tenders,detail,395330,0.015,2.731,14.5,15.74,32740,0.004,,,
51-9120,Painting Workers,broad,156470,0.015,1.081,17.7,19.16,39850,0.004,,,
51-9121,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",detail,88560,0.015,0.612,16.73,17.55,36510,0.005,,,
51-9122,"Painters, Transportation Equipment",detail,55710,0.033,0.385,20.33,22.34,46460,0.01,,,
51-9123,"Painting, Coating, and Decorating Workers",detail,12200,0.041,0.084,14.93,16.33,33960,0.011,,,
51-9141,Semiconductor Processors,detail,25730,0.084,0.178,17.92,19.14,39810,0.014,,,
51-9151,Photographic Process Workers and Processing Machine Operators,detail,16680,0.047,0.115,14.03,16.78,34910,0.021,,,
51-9190,Miscellaneous Production Workers,broad,796900,0.012,5.506,14.53,16.02,33320,0.004,,,
51-9191,Adhesive Bonding Machine Operators and Tenders,detail,16310,0.045,0.113,16.26,17.23,35850,0.016,,,
51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",detail,17630,0.041,0.122,14.8,15.91,33090,0.012,,,
51-9193,Cooling and Freezing Equipment Operators and Tenders,detail,8820,0.051,0.061,15.58,16.6,34520,0.011,,,
51-9194,Etchers and Engravers,detail,8600,0.063,0.059,15.06,16.61,34550,0.019,,,
51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",detail,42500,0.033,0.294,16.03,16.92,35190,0.007,,,
51-9196,"Paper Goods Machine Setters, Operators, and Tenders",detail,97960,0.021,0.677,18.62,19.38,40320,0.01,,,
51-9197,Tire Builders,detail,23920,0.081,0.165,22.42,21.89,45530,0.017,,,
51-9198,Helpers--Production Workers,detail,350410,0.021,2.421,13.33,14.12,29380,0.004,,,
51-9199,"Production Workers, All Other",detail,230760,0.023,1.594,14.5,16.58,34490,0.008,,,
53-0000,Transportation and Material Moving Occupations,major,10244260,0.003,70.78,15.74,18.41,38290,0.004,,,
53-1000,Supervisors of Transportation and Material Moving Workers,minor,419980,0.006,2.902,26.67,27.92,58070,0.002,,,
53-1011,Aircraft Cargo Handling Supervisors,detail,8920,0.065,0.062,23.37,26.49,55110,0.028,,,
53-1048,"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors",detail,411060,0.006,2.84,26.73,27.95,58140,0.002,,,
53-2000,Air Transportation Workers,minor,271890,0.021,1.879,-4,-4,101910,0.024,,,
53-2010,Aircraft Pilots and Flight Engineers,broad,120760,0.024,0.834,-4,-4,146660,0.038,,,
53-2011,"Airline Pilots, Copilots, and Flight Engineers",detail,82890,0.032,0.573,-4,-4,169560,0.039,,,
53-2012,Commercial Pilots,detail,37870,0.029,0.262,-4,-4,96530,0.032,,,
53-2020,Air Traffic Controllers and Airfield Operations Specialists,broad,32360,0.016,0.224,46.11,48.61,101100,0.014,,,
53-2021,Air Traffic Controllers,detail,22390,0.008,0.155,59.87,58.09,120830,0.008,,,
53-2022,Airfield Operations Specialists,detail,9960,0.049,0.069,25.1,27.29,56760,0.023,,,
53-2031,Flight Attendants,detail,118770,0.027,0.821,-4,-4,56630,0.019,,,
53-3000,Motor Vehicle Operators,minor,4088870,0.004,28.251,17.85,18.94,39400,0.002,,,
53-3011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",detail,15380,0.057,0.106,12.38,13.95,29010,0.019,,,
53-3020,Bus Drivers,broad,678260,0.01,4.686,16.56,17.44,36280,0.011,,,
53-3021,"Bus Drivers, Transit and Intercity",detail,174110,0.024,1.203,20.23,21.47,44650,0.019,,,
53-3022,"Bus Drivers, School or Special Client",detail,504150,0.011,3.483,15.58,16.05,33390,0.005,,,
53-3030,Driver/Sales Workers and Truck Drivers,broad,3130500,0.004,21.629,18.66,19.68,40920,0.002,,,
53-3031,Driver/Sales Workers,detail,414860,0.018,2.866,11.88,14.24,29610,0.006,,,
53-3032,Heavy and Tractor-Trailer Truck Drivers,detail,1800330,0.006,12.439,21,21.91,45570,0.002,,,
53-3033,Light Truck or Delivery Services Drivers,detail,915310,0.008,6.324,15.78,17.75,36920,0.003,,,
53-3041,Taxi Drivers and Chauffeurs,detail,207920,0.017,1.437,12.49,13.68,28450,0.008,,,
53-3099,"Motor Vehicle Operators, All Other",detail,56810,0.036,0.393,14.6,17.14,35640,0.017,,,
53-4000,Rail Transportation Workers,minor,109460,0.045,0.756,29.69,30.95,64380,0.01,,,
53-4010,Locomotive Engineers and Operators,broad,41090,0.061,0.284,29.41,31.37,65240,0.012,,,
53-4011,Locomotive Engineers,detail,34850,0.065,0.241,29.86,32.17,66920,0.013,,,
53-4012,Locomotive Firers,detail,560,0.151,0.004,30.69,33.19,69030,0.032,,,
53-4013,"Rail Yard Engineers, Dinkey Operators, and Hostlers",detail,5690,0.134,0.039,25.3,26.27,54640,0.021,,,
53-4021,"Railroad Brake, Signal, and Switch Operators",detail,14270,0.08,0.099,27.53,28.31,58890,0.021,,,
53-4031,Railroad Conductors and Yardmasters,detail,42360,0.051,0.293,30.26,31.77,66080,0.015,,,
53-4041,Subway and Streetcar Operators,detail,8850,0.045,0.061,32.78,30.28,62970,0.051,,,
53-4099,"Rail Transportation Workers, All Other",detail,2890,0.139,0.02,26.64,28.12,58490,0.051,,,
53-5000,Water Transportation Workers,minor,79860,0.07,0.552,26.16,31.75,66040,0.019,,,
53-5011,Sailors and Marine Oilers,detail,32220,0.068,0.223,19.66,22.2,46180,0.033,,,
53-5020,Ship and Boat Captains and Operators,broad,38910,0.065,0.269,32.4,38.61,80310,0.023,,,
53-5021,"Captains, Mates, and Pilots of Water Vessels",detail,36390,0.07,0.251,33.26,39.61,82380,0.024,,,
53-5022,Motorboat Operators,detail,2510,0.091,0.017,24.18,24.21,50350,0.047,,,
53-5031,Ship Engineers,detail,8740,0.124,0.06,34.2,36.4,75710,0.019,,,
53-6000,Other Transportation Workers,minor,363130,0.013,2.509,12.23,15.61,32460,0.011,,,
53-6011,Bridge and Lock Tenders,detail,3170,0.034,0.022,24.19,22.91,47660,0.009,,,
53-6021,Parking Lot Attendants,detail,145900,0.023,1.008,11.47,12.08,25130,0.005,,,
53-6031,Automotive and Watercraft Service Attendants,detail,113760,0.021,0.786,11.64,12.47,25940,0.005,,,
53-6041,Traffic Technicians,detail,7290,0.033,0.05,22.39,24.38,50700,0.016,,,
53-6051,Transportation Inspectors,detail,29990,0.032,0.207,35.47,36.22,75330,0.016,,,
53-6061,"Transportation Attendants, Except Flight Attendants",detail,25460,0.082,0.176,12.87,14.73,30640,0.022,,,
53-6099,"Transportation Workers, All Other",detail,37560,0.032,0.259,18.03,20.61,42870,0.029,,,
53-7000,Material Moving Workers,minor,4911060,0.005,33.932,13.74,15.17,31560,0.002,,,
53-7011,Conveyor Operators and Tenders,detail,23390,0.035,0.162,15.86,16.88,35110,0.008,,,
53-7021,Crane and Tower Operators,detail,44410,0.028,0.307,26.03,27.96,58160,0.014,,,
53-7030,"Dredge, Excavating, and Loading Machine Operators",broad,49780,0.023,0.344,21.44,23.46,48790,0.008,,,
53-7031,Dredge Operators,detail,1190,0.172,0.008,21.76,22.84,47500,0.024,,,
53-7032,Excavating and Loading Machine and Dragline Operators,detail,46090,0.024,0.318,21.28,23.4,48680,0.009,,,
53-7033,"Loading Machine Operators, Underground Mining",detail,2500,0.114,0.017,24.6,24.73,51450,0.027,,,
53-7041,Hoist and Winch Operators,detail,3180,0.087,0.022,21.87,27.11,56390,0.064,,,
53-7051,Industrial Truck and Tractor Operators,detail,604130,0.011,4.174,16.71,17.54,36480,0.003,,,
53-7060,"Laborers and Material Movers, Hand",broad,4002390,0.006,27.654,13.02,14.32,29790,0.002,,,
